company_id,id_x,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,profit_margin,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,id,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow,profit_score,leverage_score,cash_score,health_score,health_label
ABB,67.0,3791.6923076923076,3050.3076923076924,741.6153846153846,17.923076923076923,108.61538461538461,7.384615384615385,39.69230769230769,802.8461538461538,31.0,574.8461538461538,270.53846153846155,49.416666666666664,13.646582446130013,142.0,21.0,2049.4615384615386,56.61538461538461,863.6153846153846,2990.923076923077,167.46153846153845,3.769230769230769,0.0,2819.846153846154,2990.923076923077,0.019970230689180475,72.0,1639.391304347826,-1583.0,-16.304347826086957,40.130434782608695,56.391304347826086,0.07550770078830178,0.9997612451742167,0.47782844833888705,47.34799883692518,AVERAGE
ADANIENSOL,91.5,8420.75,5183.166666666667,3237.5,52.3,379.5,1638.5,987.75,990.9166666666666,25.0,731.4166666666666,6.5,0.0,10.199100838237918,154.5,1018.4250000000001,6773.916666666667,20784.833333333332,4577.916666666667,33154.833333333336,21343.583333333332,2561.9166666666665,460.0833333333333,8789.25,33154.833333333336,3.0047222401451723,89.0,2874.5454545454545,-3080.181818181818,272.90909090909093,67.45454545454545,-205.63636363636363,0.06999633314078543,0.9640769330039917,0.4748631016819433,45.968054366209465,AVERAGE
ADANIENT,104.0,60866.38461538462,54862.61538461538,6003.7692307692305,9.153846153846153,940.8461538461538,3068.3846153846152,1692.4615384615386,2183.6153846153848,20.916666666666668,1838.7692307692307,16.076923076923077,7.666666666666667,2.8360746948807125,176.0,110.92307692307692,22860.30769230769,43305.0,28541.846153846152,94817.84615384616,38918.92307692308,15765.23076923077,3327.230769230769,36806.38461538462,94817.84615384616,1.7773294072252876,100.5,6025.833333333333,-8639.083333333334,2686.25,73.08333333333333,-2613.25,0.05822532209857479,0.9787510730553767,0.4476163261687787,45.12003486066766,AVERAGE
ADANIGREEN,115.0,4736.0,1362.111111111111,3373.6666666666665,69.55555555555556,422.44444444444446,2272.0,1021.4444444444445,502.55555555555554,-3.875,456.0,2.4444444444444446,0.0,1.664185268412926,196.0,1538.4444444444443,2835.1111111111113,33752.333333333336,5857.222222222223,43983.333333333336,28504.0,6081.0,748.5555555555555,8660.666666666666,43983.333333333336,8.294497608037105,110.5,2996.625,-8141.5,5344.5,199.375,-5144.875,0.05635186367120696,0.9008348294924752,0.41896612373733805,41.84810314374267,AVERAGE
ADANIPORTS,132.5,13069.461538461539,5314.384615384615,7755.0,60.46153846153846,1029.1538461538462,1718.076923076923,1924.5384615384614,5141.384615384615,12.916666666666666,4401.692307692308,20.923076923076923,13.0,35.93529274663004,207.0,416.53846153846155,26913.615384615383,31110.30769230769,7213.076923076923,65653.53846153847,39066.692307692305,4892.153846153846,2069.0,19625.846153846152,65653.53846153847,1.2759998688472922,120.5,6328.75,-5743.083333333333,-493.3333333333333,92.41666666666667,585.6666666666666,0.11113987836796681,0.9847447367470198,0.4838182162833531,48.50248372562985,AVERAGE
ADANIPOWER,152.0,27466.0,19079.53846153846,8386.461538461539,28.384615384615383,1787.5384615384614,4453.153846153846,2803.076923076923,2917.846153846154,-5.833333333333333,2772.076923076923,6.846153846153846,0.0,2.004204346587545,220.0,3552.6153846153848,12036.307692307691,46711.46153846154,13172.461538461539,75472.69230769231,52462.07692307692,5063.538461538462,170.46153846153845,17776.69230769231,75472.69230769231,10.188930282240213,132.5,6516.833333333333,-1466.75,-4984.083333333333,65.83333333333333,5050.083333333333,0.056895440217837386,0.8781858701425629,0.5343416710755509,44.651643845256906,AVERAGE
AMBUJACEM,165.0,22582.923076923078,18596.53846153846,3986.5384615384614,17.923076923076923,496.7692307692308,158.23076923076923,1128.7692307692307,3196.3846153846152,22.333333333333332,2496.230769230769,10.384615384615385,44.916666666666664,11.314275643200956,233.0,380.6923076923077,22479.46153846154,250.76923076923077,13634.615384615385,36745.46153846154,19058.384615384617,1722.076923076923,907.9230769230769,15057.076923076924,36745.46153846154,0.008702107456848178,144.5,2962.4166666666665,-2919.0,-164.58333333333334,-121.08333333333333,43.416666666666664,0.07177912389660229,0.9998959616349884,0.4776816153774335,47.19849226623675,AVERAGE
APOLLOHOSP,178.0,10548.538461538461,9207.307692307691,1341.3846153846155,12.76923076923077,102.38461538461539,312.0,436.15384615384613,695.6153846153846,34.916666666666664,481.46153846153845,34.23076923076923,29.666666666666668,4.530434393938071,246.0,70.76923076923077,4262.2307692307695,3574.4615384615386,2592.6153846153848,10499.692307692309,5961.538461538462,531.6153846153846,607.4615384615385,3399.153846153846,10499.692307692309,0.8172603355001778,156.5,958.25,-776.1666666666666,-150.0,32.166666666666664,182.08333333333334,0.060934035382864064,0.9902292140707373,0.479250895215677,46.521764693906995,AVERAGE
ASIANPAINT,191.0,21352.076923076922,17274.153846153848,4078.076923076923,18.846153846153847,337.84615384615387,94.92307692307692,559.5384615384615,3761.3076923076924,29.0,2725.0,27.846153846153847,48.416666666666664,12.464459033776278,265.5,96.0,10186.076923076924,1105.7692307692307,5639.384615384615,17027.23076923077,4850.615384615385,695.8461538461538,2763.923076923077,8717.538461538461,17027.23076923077,0.0963884072225765,168.5,2511.1666666666665,-895.0833333333334,-1362.9166666666667,253.08333333333334,1616.0833333333333,0.07361788164748219,0.9988476248606167,0.49547936123520436,47.77452484877392,AVERAGE
AXISBANK,225.0,60626.846153846156,34077.769230769234,25437.23076923077,1111.923076923077,0.38461538461538464,13410.0,1577.6923076923076,12944.615384615385,23.583333333333332,9052.153846153846,31.923076923076923,8.75,14.284209924104221,292.5,534.8333333333334,78919.33333333333,706279.25,35688.0,821421.8333333334,3789.9166666666665,226.83333333333334,184015.25,633389.9166666666,821421.8333333334,9.004988362441928,201.5,7169.166666666667,-16436.833333333332,17814.5,8546.583333333334,-9267.666666666666,0.0765270534210264,0.8923405312077539,0.372308812392784,41.000562444857195,AVERAGE
